Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1382,382,Gary Payton II,PG,30,TOT,22,1,16.7,1.9,3.1,0.857,1.1,2.0,3.1,1.4,1.0,0.2,0.7,2.0,4.6
1382,382,Gary Payton II,PG,30,POR,15,1,17.0,1.6,2.7,1.0,0.7,1.9,2.6,1.5,1.1,0.1,0.8,1.9,4.1
1382,382,Gary Payton II,PG,30,GSW,7,0,16.0,2.4,4.0,0.667,2.0,2.3,4.3,1.1,0.9,0.6,0.6,2.0,5.7
1383,383,Theo Pinson,SG,27,DAL,40,1,8.1,0.8,2.2,0.846,0.3,1.3,1.6,1.2,0.2,0.0,0.3,0.9,2.4
1384,384,Scotty Pippen Jr.,PG,22,LAL,6,0,5.3,0.7,2.0,0.556,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3
1385,385,Mason Plumlee,C,32,TOT,79,60,26.0,4.2,6.1,0.636,2.9,6.0,8.9,3.1,0.6,0.6,1.5,2.7,10.8
1385,385,Mason Plumlee,C,32,CHO,56,56,28.5,4.7,7.1,0.605,3.3,6.3,9.7,3.7,0.6,0.6,1.6,2.9,12.2
1385,385,Mason Plumlee,C,32,LAC,23,4,19.9,2.8,3.8,0.772,1.8,5.1,6.9,1.7,0.5,0.5,1.3,2.4,7.5
1386,386,Jakob Poeltl,C,27,TOT,72,71,26.5,5.4,8.6,0.592,3.3,5.8,9.1,2.7,0.9,1.2,1.7,2.7,12.5
1386,386,Jakob Poeltl,C,27,SAS,46,46,26.1,5.2,8.4,0.605,3.3,5.7,9.0,3.1,0.8,1.1,2.1,2.6,12.1
1386,386,Jakob Poeltl,C,27,TOR,26,25,27.2,5.8,8.8,0.569,3.2,5.9,9.1,2.2,1.2,1.3,1.1,3.0,13.1
1387,387,Aleksej Pokusevski,PF,21,OKC,34,25,20.6,3.2,7.3,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1
1388,388,Jordan Poole,PG,23,GSW,82,43,30.0,6.7,15.6,0.87,0.4,2.4,2.7,4.5,0.8,0.3,3.1,2.6,20.4
1389,389,Kevin Porter Jr.,PG,22,HOU,59,59,34.3,6.6,15.0,0.784,1.3,4.0,5.3,5.7,1.4,0.3,3.2,2.6,19.2
1390,390,Michael Porter Jr.,SF,24,DEN,62,62,29.0,6.4,13.2,0.8,1.0,4.5,5.5,1.0,0.6,0.5,1.1,1.9,17.4
1391,391,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,1.0,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5
1392,392,Bobby Portis,PF,27,MIL,70,22,26.0,5.7,11.5,0.768,2.2,7.4,9.6,1.5,0.4,0.2,1.2,1.6,14.1
1393,393,Kristaps Porzi??is,C,27,WAS,65,65,32.6,7.8,15.7,0.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3.0,23.2
